Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern,Total
2022,Jamaica,JAM,United Kingdom of Great Britain and Northern Ireland,GBR,244,198,0,0,0,0,0,442
2022,Malawi,MWI,United Kingdom of Great Britain and Northern Ireland,GBR,244,88,0,0,0,0,0,332
2022,Grenada,GRD,United Kingdom of Great Britain and Northern Ireland,GBR,24,72,0,0,0,0,0,96
2022,United Arab Emirates,ARE,United Kingdom of Great Britain and Northern Ireland,GBR,24,19,0,0,0,0,0,43
2022,Somalia,SOM,United Kingdom of Great Britain and Northern Ireland,GBR,2357,1247,0,0,0,0,0,3604
2022,Namibia,NAM,United Kingdom of Great Britain and Northern Ireland,GBR,234,1194,0,0,0,0,0,1428
2022,Lebanon,LBN,United Kingdom of Great Britain and Northern Ireland,GBR,233,208,0,0,0,0,0,441
2022,Bolivia (Plurinational State of),BOL,United Kingdom of Great Britain and Northern Ireland,GBR,23,56,0,0,0,0,0,79
2022,Iran (Islamic Rep. of),IRN,United Kingdom of Great Britain and Northern Ireland,GBR,22707,18593,0,0,0,0,0,41300
2022,Unknown ,UNK,United Kingdom of Great Britain and Northern Ireland,GBR,2252,6750,0,0,0,0,0,9002
2022,Ethiopia,ETH,United Kingdom of Great Britain and Northern Ireland,GBR,2211,1692,0,0,0,0,0,3903
2022,Dominica,DMA,United Kingdom of Great Britain and Northern Ireland,GBR,22,63,0,0,0,0,0,85
2022,Oman,OMN,United Kingdom of Great Britain and Northern Ireland,GBR,22,42,0,0,0,0,0,64
2022,Turkmenistan,TKM,United Kingdom of Great Britain and Northern Ireland,GBR,21,55,0,0,0,0,0,76
2022,Guinea,GIN,United Kingdom of Great Britain and Northern Ireland,GBR,209,155,0,0,0,0,0,364
2022,United Kingdom of Great Britain and Northern Ireland,GBR,United Kingdom of Great Britain and Northern Ireland,GBR,20,0,0,0,0,0,0,20
2022,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,1943,6404,0,0,0,0,0,8347
2022,Niger,NER,United Kingdom of Great Britain and Northern Ireland,GBR,194,27,0,0,0,0,0,221
2022,Tajikistan,TJK,United Kingdom of Great Britain and Northern Ireland,GBR,19,300,0,0,0,0,0,319
2022,Ukraine,UKR,United Kingdom of Great Britain and Northern Ireland,GBR,182423,976,0,0,0,0,0,183399
2022,Guyana,GUY,United Kingdom of Great Britain and Northern Ireland,GBR,18,9,0,0,0,0,0,27
2022,Togo,TGO,United Kingdom of Great Britain and Northern Ireland,GBR,18,30,0,0,0,0,0,48
2022,Cote d'Ivoire,CIV,United Kingdom of Great Britain and Northern Ireland,GBR,174,126,0,0,0,0,0,300
2022,Qatar,QAT,United Kingdom of Great Britain and Northern Ireland,GBR,17,18,0,0,0,0,0,35
2022,Eritrea,ERI,United Kingdom of Great Britain and Northern Ireland,GBR,16703,7032,0,0,0,0,0,23735
